verb,noun,allowed
pick_up,combination_wrench,1
pick_up,drive_shaft,1
pick_up,flat_head_screwdriver,1
pick_up,gearbox_housing,1
pick_up,gearbox_housing_drive_shaft,1
pick_up,lever,1
pick_up,phillips_screwdriver,1
pick_up,screw,1
pick_up,spring,1
pick_up,tool,0
pick_up,torx_screwdriver,1
pick_up,washer,1
place,M4_nut,1
place,M6_nut,1
place,adapter_plate,1
place,anti_vibration_handle,1
place,bearing_plate,1
place,bevel_gear,1
place,combination_wrench,1
place,drive_shaft,1
place,flat_head_screwdriver,1
place,gearbox_housing,1
place,gearbox_housing_drive_shaft,1
place,lever,1
place,phillips_screwdriver,1
place,screw,1
place,spring,1
place,tool,0
place,torx_screwdriver,1
place,washer,1
remove,M4_nut,1
remove,M6_nut,1
remove,adapter_plate,0
remove,anti_vibration_handle,0
remove,bearing_plate,0
remove,bevel_gear,0
remove,combination_wrench,0
remove,drive_shaft,0
remove,flat_head_screwdriver,0
remove,gearbox_housing,0
remove,gearbox_housing_drive_shaft,0
remove,lever,0
remove,phillips_screwdriver,0
remove,screw,1
remove,spring,0
remove,tool,0
remove,torx_screwdriver,0
remove,washer,1
seat,M4_nut,0
seat,M6_nut,0
seat,adapter_plate,0
seat,anti_vibration_handle,0
seat,bearing_plate,1
seat,bevel_gear,0
seat,combination_wrench,0
seat,drive_shaft,0
seat,flat_head_screwdriver,0
seat,gearbox_housing,0
seat,gearbox_housing_drive_shaft,0
seat,lever,0
seat,phillips_screwdriver,0
seat,screw,0
seat,spring,0
seat,tool,0
seat,torx_screwdriver,0
seat,washer,0
store,M4_nut,1
store,M6_nut,1
store,adapter_plate,1
store,anti_vibration_handle,1
store,bearing_plate,1
store,bevel_gear,1
store,combination_wrench,1
store,drive_shaft,1
store,flat_head_screwdriver,1
store,gearbox_housing,1
store,gearbox_housing_drive_shaft,1
store,lever,1
store,phillips_screwdriver,1
store,screw,1
store,spring,1
store,tool,0
store,torx_screwdriver,1
store,washer,1
thread,M4_nut,1
thread,M6_nut,1
thread,adapter_plate,0
thread,anti_vibration_handle,0
thread,bearing_plate,0
thread,bevel_gear,0
thread,combination_wrench,0
thread,drive_shaft,0
thread,flat_head_screwdriver,0
thread,gearbox_housing,0
thread,gearbox_housing_drive_shaft,0
thread,lever,0
thread,phillips_screwdriver,0
thread,screw,0
thread,spring,0
thread,tool,0
thread,torx_screwdriver,0
thread,washer,0
tighten,M4_nut,1
tighten,M6_nut,1
tighten,adapter_plate,0
tighten,anti_vibration_handle,0
tighten,bearing_plate,0
tighten,bevel_gear,0
tighten,combination_wrench,0
tighten,drive_shaft,0
tighten,flat_head_screwdriver,0
tighten,gearbox_housing,0
tighten,gearbox_housing_drive_shaft,0
tighten,lever,0
tighten,phillips_screwdriver,0
tighten,screw,1
tighten,spring,0
tighten,tool,0
tighten,torx_screwdriver,0
tighten,washer,0
transfer,M4_nut,1
transfer,M6_nut,0
transfer,adapter_plate,1
transfer,anti_vibration_handle,1
transfer,bearing_plate,1
transfer,bevel_gear,1
transfer,combination_wrench,1
transfer,drive_shaft,1
transfer,flat_head_screwdriver,0
transfer,gearbox_housing,1
transfer,gearbox_housing_drive_shaft,1
transfer,lever,1
transfer,phillips_screwdriver,1
transfer,screw,1
transfer,spring,1
transfer,tool,0
transfer,torx_screwdriver,1
transfer,washer,1
